product_id,product_name,price,description,materials,dimensions,weight,etsy_url,category
1,"Teen stocking soap, Video Game Party Favors Soap, Teen boy gift, Game Controller Soap, Gamer Husband, Controller Soap",9.5,"Game controller! This soapy game controller is just awesome! Wow, this is a great gift for a gamer. It will be placed in a transparent gift bag and tied with a bow.
 
Made with skin safe colorants and fragrances. 

The soap contains glycerin and Shea soap base.","Glycerin soap base, Fragrance, colorants, Shea soap base",4-1/8 x 2-3/4 x 7/8,4,https://www.etsy.com/listing/729518259/teen-stocking-soap-video-game-party?ref=shop_home_active_1&crt=1,novelty/gag gift
2,"Set of 10 Heart Soap Favors, Baby Shower Soap Favor, Wedding Favors For Guests",4.2,"Soap wedding favors are a great choice to thank your friends and guests after a long and important day.
These hearts shaped hearts made especially for you are the perfect gift for your guests.

6 Small cute heart-shaped soaps wonderfully suit as a gift for Baby Shower soap favors, Girl or Boy Baby Shower favors or Wedding favors. They will wonderfully decorate the bathroom / guest room or use them as a compliment. Soap is convenient for its small size or affordability. The bar has a round shape in the middle of a sweet red heart.  Please select the colors and smells from the list, if you have additional questions, please contact me!
You get 6 bars of soap, total weight 3 ounces

Made with skin-friendly dyes and fragrances. You can choose the aroma and color of the desired soap. The soap contains goat's milk, clear glycerin and Shea's soap base.


If you want to change the color of the heart or the base itself, let me know, I will gladly make you a color change.

","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.5 x 0.5,0.5,https://www.etsy.com/listing/765822068/set-of-10-heart-soap-favors-baby-shower?ref=shop_home_active_17,wedding
3,"Baby feet soap favor, Baby shower girl favor, Baby shower favor, Baby shower boy favor, From my shower to yours, Foot shape soap, Foot shape",2.2,"This list is for 1 (one) bar of soap.

Unique and cute handmade soap, made with love and care. Each piece looks like a small piece of art. You can buy a piece or gift set for a special and dear person in your life.A wonderful souvenir with a pleasant aroma on the occasion of the birth of your baby.","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",2 x 0.7 x 3.1,1.4,https://www.etsy.com/listing/701592002/baby-feet-soap-favor-baby-shower-girl?ref=shop_home_active_13,baby shower
4,"Pumpkin Soap Party Favors, Fall Wedding Favors, Baby Shower, Bridal, Gender Reveal, Sprinkle, Mini pumpkin",2.5,"Look carefully at the size of the decorative soap!

A pumpkin idea for creating autumn mood in the bathroom!
These pumpkin looks so gentle and wonderful so you just want keep them in your hands and look at them all the time.
Juicy and bright pumpkin soap is just perfect! Each soap is handmade by me to order according to your choice of colors and aromas. Your order includes 1 package with 1 soap (pumpkin). 
If you need a different color or quantity  just let me know your request through personal message.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.


Soap made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 

  


 
","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",1.5 x 1.5,1,https://www.etsy.com/listing/850850533/pumpkin-soap-party-favors-fall-wedding?ref=shop_home_active_9&crt=1,seasons
5,"Elephant Baby Shower Soap Favors , Mini Elephant Baby Shower, Little pink elephant favors",2,"Are you planning a party with an animal parade, then soap with elephants is perfect for this occasion!
Cute elephants will decorate your baby shower and give a good mood to guests.
Elephants are wonderful gifts to add to your basket baby showers, birthdays and many other important events for you.

Your order includes 1 package with 1 soap (elephant) in each. You will be delighted with the charming elephants!

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.


Soap made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. ","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",2.5 x 2,1.3,https://www.etsy.com/listing/725471942/elephant-baby-shower-soap-favors-mini?ref=shop_home_active_6,baby shower
6,"10 HONEY PARTY FAVORS, Bee Honeycomb Soap Favors, Bumblebee Mommy to Bee, Honey Baby Shower, Party Supplies, Wedding Honey Favors, boo bees",27,"Honey bees are wonderful gifts to add to your basket wedding greetings, baby showers, birthdays and many other important events for you.
With this honey soap, guests of your wedding will be delighted and take home unforgettable memories of such a special and beautiful day.
The soap has the shape of a honeycomb and a bee, filled with the sweet aroma of honey and oatmeal or other perfumes , I want to eat them!
You get 10 bars of honey soap, each packed separately and tied with a ribbon.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.


*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- *-*-*-*-*-* Tags *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Write: 
1. Date of party 
2. Tag color option
3. Text that you wish


Made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 

  

 
","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",2.5 x 2.5,1.6,https://www.etsy.com/listing/726111926/10-honey-party-favors-bee-honeycomb-soap?ref=shop_home_active_2,seasons
7,"Pacifier soap favors, Girl Baby Shower soap favors",2,"Soap pacifier souvenirs are a great choice to thank your friends and guests for coming to celebrate your baby's arrival in this world.
These pacifier soap made especially for you are the perfect gift for your guests.
*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Packaging *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*

Each soap is packaged in a separately put into a little plastic bag and tied with a ribbon. Traditionally, I select the color of the tape for the color of the soap, if you need a certain color, let me know.

*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- *-*-*-*-*-* Tags *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
Write: 
1. Date of party 
2. Tag color option
3. Text that you wish

Made with skin safe colorants and fragrances. The soap contains goat milk, clear glycerin and Shea soap base. 
  

","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",3 x 2.8,1,https://www.etsy.com/listing/720482035/pacifier-soap-favors-girl-baby-shower?ref=shop_home_active_19,baby shower
8,"Tooth soap favors, Dentist soap, Teeth soaps, Dental hygiene gift, Dental soap, Dental party favor, First tooth party, False tooth",5.5,"This funny Tooth Shaped Soap is an ideal gift for a hygienist, dentist, dental assistant or other doctor. 
Made with skin-friendly colors and fragrances.
The soap contains a white glycerin soap base. ","goat milk soap base, colorant, fragrance",,2.5,https://www.etsy.com/listing/691654247/tooth-soap-favors-dentist-soap-teeth?ref=shop_home_active_4&crt=1,novelty/gag gift
9,"Baby shower favors soap, Baby shower gifts,Pacifier soaps favors, From my shower to yours, it's a girl, it's a boy, mini soap favors",1.8,"Soap pacifier is a great souvenir choice to thank your family, friends and guests for coming to celebrate your baby's arrival in this world.
These pacifier soap made especially for you and it's perfect gift for everyone.

Made with skin safe colorants and fragrances. 

The soap contains goat milk, clear glycerin and Shea soap base. ","Goat milk soap base, Clear glycerin soap base, Colorant, fragrance",2.8 x 3,,https://www.etsy.com/listing/721123569/baby-shower-favors-soap-baby-shower?ref=shop_home_active_19&crt=1,baby shower
10,"Stocking stuffer for toddler soap, Hand Gun For Her Soap Party Favors, Pistol soap, Gun favors, Cowgirl With Gun",5,"Does your girlfriend like gun? So why not get her a present from Santa!

Made with skin safe colorants and fragrances. 

The soap contains glycerin and Shea soap base.","Glycerin soap base, Fragrance, colorants",4 x 2.5 x 0.7,2.3,https://www.etsy.com/listing/745502782/stocking-stuffer-for-toddler-soap-hand?ref=shop_home_active_29,baby shower
